rule_lhf,rule_rhs,conf,lift,supp,conv
"(('matrix', 'insert-node', '""include""'),)","(('include', 'insert-node', '""include""'),)",1.0,72.60000000000001,0.011019283746556474,986225895.3168043
"(('python', 'move-tree', '""3.5""'),)","(('include', 'insert-node', '""include""'),)",1.0,72.60000000000001,0.011019283746556474,986225895.3168043
"(('install', 'insert-node', '""install""'),)","(('install', 'delete-node', ''),)",1.0,51.85714285714286,0.011019283746556474,980716253.4435261
"(('install', 'move-tree', '""install""'),)","(('install', 'delete-node', ''),)",1.0,51.85714285714286,0.011019283746556474,980716253.4435261
"(('install', 'move-tree', '""install""'),)","(('install', 'insert-node', '""install""'),)",1.0,90.75000000000001,0.011019283746556474,988980716.2534435
"(('install', 'insert-node', '""install""'),)","(('install', 'move-tree', '""install""'),)",1.0,90.75000000000001,0.011019283746556474,988980716.2534435
"(('placeholder', 'move-tree', '""John""'),)","(('language', 'insert-tree', '""language""'),)",1.0,24.200000000000003,0.03581267217630854,958677685.9504132
"(('placeholder', 'update-node', 'replace ""John"" by ""2.7""'),)","(('language', 'insert-tree', '""language""'),)",1.0,24.2,0.011019283746556474,958677685.9504132
"(('placeholder', 'update-node', 'replace ""placeholder"" by ""python""'),)","(('language', 'insert-tree', '""language""'),)",1.0,24.2,0.03305785123966942,958677685.9504132
"(('python', 'move-tree', '""3.5""'),)","(('matrix', 'insert-node', '""include""'),)",1.0,90.75000000000001,0.011019283746556474,988980716.2534435
"(('matrix', 'insert-node', '""include""'),)","(('python', 'move-tree', '""3.5""'),)",1.0,90.75000000000001,0.011019283746556474,988980716.2534435
"(('placeholder', 'update-node', 'replace ""John"" by ""2.7""'),)","(('placeholder', 'update-node', 'replace ""placeholder"" by ""python""'),)",1.0,30.25,0.011019283746556474,966942148.7603306
"(('placeholder', 'update-node', 'replace ""John"" by ""2.7""'),)","(('script', 'insert-tree', '""script""'),)",1.0,20.166666666666668,0.011019283746556474,950413223.1404958
"(('placeholder', 'update-node', 'replace ""placeholder"" by ""language""'),)","(('placeholder', 'update-node', 'replace ""John"" by ""python""'),)",1.0,90.75000000000001,0.011019283746556474,988980716.2534435
"(('placeholder', 'update-node', 'replace ""John"" by ""python""'),)","(('placeholder', 'update-node', 'replace ""placeholder"" by ""language""'),)",1.0,90.75000000000001,0.011019283746556474,988980716.2534435
"(('python', 'delete-node', ''),)","(('python', 'move-tree', '""python""'),)",1.0,40.33333333333333,0.013774104683195593,975206611.5702479
"(('placeholder', 'move-tree', '""John""'),)","(('script', 'insert-tree', '""script""'),)",0.9230769230769231,18.615384615384617,0.03305785123966942,12.355371740206621
"(('placeholder', 'update-node', 'replace ""placeholder"" by ""python""'),)","(('placeholder', 'move-tree', '""John""'),)",0.9166666666666666,25.59615384615385,0.030303030303030304,11.570247795041318
"(('placeholder', 'update-node', 'replace ""placeholder"" by ""python""'),)","(('script', 'insert-tree', '""script""'),)",0.9166666666666666,18.48611111111111,0.030303030303030304,11.404958540826442
"(('language', 'insert-tree', '""language""'),)","(('placeholder', 'move-tree', '""John""'),)",0.8666666666666667,24.200000000000003,0.03581267217630854,7.231404904442151
"(('language', 'insert-tree', '""language""'),)","(('script', 'insert-tree', '""script""'),)",0.8666666666666667,17.477777777777778,0.03581267217630854,7.128099120092977
"(('placeholder', 'move-tree', '""John""'),)","(('placeholder', 'update-node', 'replace ""placeholder"" by ""python""'),)",0.8461538461538461,25.59615384615385,0.030303030303030304,6.2851239260888425
"(('env', 'insert-node', '""env""'),)","(('python', 'move-tree', '""python""'),)",0.8,32.266666666666666,0.011019283746556474,4.876033033471075
"(('include', 'insert-node', '""include""'),)","(('matrix', 'insert-node', '""include""'),)",0.8,72.60000000000001,0.011019283746556474,4.944903556542701
"(('matrix', 'insert-node', '""matrix""'),)","(('include', 'insert-node', '""include""'),)",0.8,58.08,0.011019283746556474,4.931129451928376
"(('include', 'insert-node', '""include""'),)","(('matrix', 'insert-node', '""matrix""'),)",0.8,58.08,0.011019283746556474,4.931129451928376
"(('include', 'insert-node', '""include""'),)","(('python', 'move-tree', '""3.5""'),)",0.8,72.60000000000001,0.011019283746556474,4.944903556542701
"(('language', 'insert-tree', '""language""'),)","(('placeholder', 'update-node', 'replace ""placeholder"" by ""python""'),)",0.8,24.2,0.03305785123966942,4.8347107196281005
"(('placeholder', 'move-tree', '""John""'),)","(('install', 'insert-tree', '""install""'),)",0.7692307692307693,17.451923076923077,0.027548209366391185,4.142332397109581
"(('placeholder', 'update-node', 'replace ""placeholder"" by ""python""'),)","(('install', 'insert-tree', '""install""'),)",0.75,17.015625,0.024793388429752067,3.82369144476033
"(('install', 'insert-tree', '""install""'),)","(('script', 'insert-tree', '""script""'),)",0.75,15.125000000000002,0.03305785123966942,3.8016528773553713
"(('language', 'insert-tree', '""language""'),)","(('install', 'insert-tree', '""install""'),)",0.7333333333333333,16.6375,0.030303030303030304,3.5847107303589865
"(('script', 'insert-tree', '""script""'),)","(('language', 'insert-tree', '""language""'),)",0.7222222222222222,17.477777777777778,0.03581267217630854,3.4512396569970245
"(('include', 'delete-node', ''),)","(('python', 'move-tree', '""python""'),)",0.7142857142857143,28.80952380952381,0.013774104683195593,3.4132231285495864
"(('install', 'insert-tree', '""install""'),)","(('language', 'insert-tree', '""language""'),)",0.6875,16.6375,0.030303030303030304,3.0677685852244627
"(('env', 'move-tree', '""env""'),)","(('include', 'delete-node', ''),)",0.6666666666666666,34.57142857142857,0.011019283746556474,2.942148751504132
"(('env', 'move-tree', '""env""'),)","(('python', 'move-tree', '""python""'),)",0.6666666666666666,26.88888888888889,0.011019283746556474,2.9256198259338837
"(('script', 'insert-tree', '""script""'),)","(('install', 'insert-tree', '""install""'),)",0.6666666666666666,15.125000000000002,0.03305785123966942,2.867768586438016
"(('script', 'insert-tree', '""script""'),)","(('placeholder', 'move-tree', '""John""'),)",0.6666666666666666,18.615384615384617,0.03305785123966942,2.892561974793388
"(('install', 'insert-tree', '""install""'),)","(('placeholder', 'move-tree', '""John""'),)",0.625,17.451923076923077,0.027548209366391185,2.5711662006734004
"(('python', 'insert-tree', '""python""'),)","(('install', 'insert-tree', '""install""'),)",0.625,14.179687500000002,0.013774104683195593,2.549127633239057
"(('python', 'insert-tree', '""python""'),)","(('script', 'insert-tree', '""script""'),)",0.625,12.604166666666668,0.013774104683195593,2.5344352549494946
"(('script', 'insert-tree', '""script""'),)","(('placeholder', 'update-node', 'replace ""placeholder"" by ""python""'),)",0.6111111111111112,18.48611111111111,0.030303030303030304,2.486422661847192
"(('include', 'delete-node', ''),)","(('env', 'move-tree', '""env""'),)",0.5714285714285714,34.57142857142857,0.011019283746556474,2.294765834865932
"(('install', 'delete-node', ''),)","(('install', 'insert-node', '""install""'),)",0.5714285714285714,51.85714285714286,0.011019283746556474,2.307621665873584
"(('install', 'delete-node', ''),)","(('install', 'move-tree', '""install""'),)",0.5714285714285714,51.85714285714286,0.011019283746556474,2.307621665873584
"(('install', 'insert-tree', '""install""'),)","(('placeholder', 'update-node', 'replace ""placeholder"" by ""python""'),)",0.5625,17.015625,0.024793388429752067,2.210153477828976
"(('python', 'move-tree', '""python""'),)","(('include', 'delete-node', ''),)",0.5555555555555556,28.80952380952381,0.013774104683195593,2.206611565283058
"(('python', 'move-tree', '""python""'),)","(('python', 'delete-node', ''),)",0.5555555555555556,40.33333333333333,0.013774104683195593,2.219008259470041
"(('before_install', 'insert-tree', '""before_install""'),)","(('language', 'insert-tree', '""language""'),)",0.5,12.1,0.011019283746556474,1.917355368066116
"(('before_install', 'insert-tree', '""before_install""'),)","(('script', 'insert-tree', '""script""'),)",0.5,10.083333333333334,0.011019283746556474,1.9008264424793389
"(('python', 'insert-tree', '""python""'),)","(('language', 'insert-tree', '""language""'),)",0.5,12.1,0.011019283746556474,1.917355368066116
